INST CODE,INSTITUTE NAME,DIST,YEAR_OF_EST,BRANCH,OC,BC_A,BC_B,BC_C,BC_D,BC_E,SC,ST,AFFILIATED,CODE
AARM,AAR MAHAVEER ENGINEERING COLLEGE,HYD,2010,CSE,25594,71964,55623,25594,52110,55875,73190,49086,JNTUH,1
AARM,AAR MAHAVEER ENGINEERING COLLEGE,HYD,2010,ECE,51982,94136,83731,51982,66942,86690,85408,71960,JNTUH,1
AARM,AAR MAHAVEER ENGINEERING COLLEGE,HYD,2010,EEE,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AARM,AAR MAHAVEER ENGINEERING COLLEGE,HYD,2010,MEC,29410,29410,91509,29410,29410,29410,82105,78444,JNTUH,1
ACEG,A C E ENGINEERING COLLEGE,MDL,2007,CIV,41557,85983,97703,47985,95876,95568,96478,74861,JNTUH,1
ACEG,A C E ENGINEERING COLLEGE,MDL,2007,CSE,26085,77585,45653,95934,49548,80330,96024,99434,JNTUH,1
ACEG,A C E ENGINEERING COLLEGE,MDL,2007,ECE,40415,85209,78237,60231,59216,88541,90246,42778,JNTUH,1
ACEG,A C E ENGINEERING COLLEGE,MDL,2007,EEE,50487,50487,83880,50487,69185,84962,86169,98208,JNTUH,1
ACEG,A C E ENGINEERING COLLEGE,MDL,2007,INF,37388,64613,69865,37388,55179,82821,99560,39828,JNTUH,1
ACEG,A C E ENGINEERING COLLEGE,MDL,2007,MEC,82513,82513,82513,82513,97433,82513,93554,93518,JNTUH,1
AHTC,ABHINAV HI-TECH COLLEGE OF ENGINEERING,RR,2002,CIV,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AHTC,ABHINAV HI-TECH COLLEGE OF ENGINEERING,RR,2002,CSE,63858,96871,84853,88335,92741,93291,82822,63858,JNTUH,1
AHTC,ABHINAV HI-TECH COLLEGE OF ENGINEERING,RR,2002,ECE,77296,77296,77296,77296,77296,77296,97128,77296,JNTUH,1
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,RR,2005,CIV,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,RR,2005,CSE,54649,90389,95704,54649,73438,86410,90786,97391,JNTUH,1
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,RR,2005,ECE,54997,93400,84780,97215,72068,96452,98589,89712,JNTUH,1
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,RR,2005,EEE,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,RR,2005,MEC,62002,62002,62002,62002,75238,62002,78459,62002,JNTUH,1
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KGM,2007,CIV,71737,71737,71737,71737,71737,76440,99568,87591,JNTUH,1
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KGM,2007,CSE,91925,91925,96227,91925,91925,91925,96972,91925,JNTUH,1
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KGM,2007,ECE,50683,50683,50683,50683,50683,50683,98995,50683,JNTUH,1
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KGM,2007,EEE,82736,82736,90516,82736,82736,82736,99638,88850,JNTUH,1
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KGM,2007,MEC,54599,54599,54599,54599,86133,54599,98684,90358,JNTUH,1
ANRH,ANURAG COLLEGE OF ENGINEERING,MDL,2008,CSE,25896,94915,62795,25896,49839,96454,94677,57144,JNTUH,1
ANRH,ANURAG COLLEGE OF ENGINEERING,MDL,2008,ECE,33498,90511,94627,69232,70689,94710,95948,93976,JNTUH,1
ANRH,ANURAG COLLEGE OF ENGINEERING,MDL,2008,EEE,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
ANRH,ANURAG COLLEGE OF ENGINEERING,MDL,2008,MEC,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
ANRK,ANURAG ENGINEERING COLLGE,SRP,2001,CIV,48389,62783,90253,48389,91114,48389,90755,98441,JNTUH,1
ANRK,ANURAG ENGINEERING COLLGE,SRP,2001,CSE,62974,84405,85513,71842,69644,92079,91552,94959,JNTUH,1
ANRK,ANURAG ENGINEERING COLLGE,SRP,2001,ECE,93062,93062,93062,93062,93062,93062,95908,93062,JNTUH,1
ANRK,ANURAG ENGINEERING COLLGE,SRP,2001,EEE,81803,81803,81803,81803,81803,81803,99545,81803,JNTUH,1
ANRK,ANURAG ENGINEERING COLLGE,SRP,2001,MEC,53143,53143,76322,53143,53143,90052,90621,80545,JNTUH,1
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,RR,2006,CIV,65332,65332,65332,65332,65332,65332,65332,76969,JNTUH,1
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,RR,2006,CSE,69661,88148,98186,69661,97770,69661,92879,85903,JNTUH,1
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,RR,2006,ECE,24939,87440,24939,24939,24939,24939,24939,24939,JNTUH,1
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,RR,2006,EEE,72373,72373,72373,72373,72373,72373,72373,97490,JNTUH,1
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,RR,2006,MEC,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
ASOK,ASHOKA,YBG,2009,CIV,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
ASOK,ASHOKA,YBG,2009,CSE,61483,88658,94937,61483,88336,93134,93222,89963,JNTUH,1
ASOK,ASHOKA,YBG,2009,ECE,79617,87842,94541,79617,86027,79617,92906,98478,JNTUH,1
ASOK,ASHOKA,YBG,2009,EEE,76731,91233,76731,76731,76731,76731,91417,87069,JNTUH,1
ASOK,ASHOKA,YBG,2009,MEC,94949,94949,94949,94949,94949,94949,94949,97291,JNTUH,1
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,RR,2008,CIV,75830,75830,75830,75830,75830,75830,96690,76966,JNTUH,1
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,RR,2008,CSE,65692,96952,97076,65692,90603,65692,90087,65692,JNTUH,1
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,RR,2008,ECE,54861,87657,80444,81542,87589,92175,88750,54861,JNTUH,1
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,RR,2008,EEE,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,RR,2008,MEC,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,MDL,2003,CIV,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,MDL,2003,CSE,30114,94015,59950,30114,53273,71978,94148,32036,JNTUH,1
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,MDL,2003,ECE,62301,87026,93383,98539,79807,80782,99197,78908,JNTUH,1
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,MDL,2003,EEE,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AURP,AURORAS TECHNOLOGICAL AND,MDL,1999,CIV,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AURP,AURORAS TECHNOLOGICAL AND,MDL,1999,CSE,42242,92574,82354,81585,61773,85250,78182,81535,JNTUH,1
AURP,AURORAS TECHNOLOGICAL AND,MDL,1999,ECE,67634,89119,93277,67634,94353,67634,93435,67634,JNTUH,1
AURP,AURORAS TECHNOLOGICAL AND,MDL,1999,EEE,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AURP,AURORAS TECHNOLOGICAL AND,MDL,1999,INF,57687,86944,93585,57687,79717,80220,61313,62811,JNTUH,1
AURP,AURORAS TECHNOLOGICAL AND,MDL,1999,MEC,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,RR,2005,CSE,55975,96777,93152,75082,81167,98100,78632,65033,JNTUH,1
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,RR,2005,ECE,83288,88918,89659,83288,84716,83288,97722,83288,JNTUH,1
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,RR,2005,EEE,69473,69473,69473,69473,88270,69473,86350,87230,JNTUH,1
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,RR,2005,MEC,99633,99633,99633,99633,99633,99633,99633,99633,JNTUH,1
AVNI,AVN INST OF ENGG TECHNOLOGY,RR,2009,CIV,62453,62453,73494,62453,62453,62453,90730,90261,JNTUH,1
AVNI,AVN INST OF ENGG TECHNOLOGY,RR,2009,CSE,48203,96258,73205,56267,56060,56523,99330,89426,JNTUH,1
AVNI,AVN INST OF ENGG TECHNOLOGY,RR,2009,ECE,64300,95145,97513,64300,86163,90893,99319,92764,JNTUH,1
AVNI,AVN INST OF ENGG TECHNOLOGY,RR,2009,MEC,76908,76908,76908,76908,80255,76908,94780,90344,JNTUH,1
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,RR,2001,CIV,64513,75078,82459,76027,80974,64513,96948,92664,JNTUH,1
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,RR,2001,CSE,33658,97971,60314,56070,55757,78515,99070,95764,JNTUH,1
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,RR,2001,ECE,55913,96804,96112,56634,62024,92315,63200,64893,JNTUH,1
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,RR,2001,EEE,57088,95428,75030,57088,80945,86602,89550,57088,JNTUH,1
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,RR,2001,INF,40879,86543,85625,40879,57254,62461,45464,45546,JNTUH,1
